Energy,Total,Si-s,Si-p,Si-d,C-s,C-p,C-d
-17.724623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.695623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.666623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.638623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.609623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.580623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.552623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.523623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.495623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.466623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.437623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.409623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.380623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.351623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.323623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.294623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.266623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.237623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.208623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.180623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.151623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.122623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.094623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-17.065623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
